index,D_0__Archaea;D_1__Altiarchaeota,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Hadesarchaeaeota,D_0__Archaea;D_1__Hydrothermarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Archaea;__,D_0__Bacteria;D_1__Acetothermia,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__AncK6,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Caldiserica,D_0__Bacteria;D_1__Calditrichaeota,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Desantisbacteria,D_0__Bacteria;D_1__Edwardsbacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firestonebacteria,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Lindowbacteria,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Poribacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Schekmanbacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,D_0__Eukaryota;D_1__Excavata,D_0__Eukaryota;D_1__Opisthokonta,D_0__Eukaryota;__,Unassigned;__,Well,Area,Date,FilterSize,DNA_concentration_ng/μl,DNA_volume_μl,R1.seq.num,R2.seq.num,Matched.seq.num,OldID_for_R
Spring20190615-GW82120190429F10,2.0,0.0,25.0,9.0,0.0,0.0,377.0,226.0,0.0,34.0,3977.0,3945.0,0.0,420.0,0.0,11234.0,0.0,0.0,4569.0,2146.0,526.0,7.0,0.0,1756.0,0.0,0.0,1779.0,116.0,10.0,0.0,445.0,327.0,0.0,145.0,0.0,0.0,77.0,0.0,0.0,0.0,153.0,0.0,0.0,48.0,0.0,299.0,1670.0,0.0,5645.0,1376.0,0.0,42036.0,72.0,0.0,19.0,0.0,7.0,1637.0,0.0,906.0,0.0,0.0,53.0,1015.0,0.0,0.0,0.0,0.0,GW821,Bkgd,4/29/19,F10,1.387,50.0,145026.0,138075.0,133407.0,GW821T190429F10
Spring20190615-GW82120190513F01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,6395.0,0.0,0.0,85.0,10.0,5.0,0.0,11.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,2917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GW821,Bkgd,5/13/19,F01,1.380,50.0,409465.0,284760.0,273213.0,GW821T190513F01
Spring20190615-GW82120190513F02,0.0,0.0,3.0,12.0,0.0,0.0,231.0,17.0,2.0,0.0,257.0,93.0,0.0,11.0,0.0,8580.0,0.0,0.0,4674.0,95.0,44.0,0.0,0.0,581.0,0.0,0.0,681.0,0.0,0.0,0.0,44.0,50.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,19.0,681.0,0.0,6982.0,51.0,0.0,6811.0,12.0,0.0,0.0,0.0,0.0,184.0,0.0,13.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,GW821,Bkgd,5/13/19,F02,54.772,50.0,61700.0,60673.0,57000.0,GW821T190513F02
Spring20190615-GW82120190513F10,0.0,0.0,8.0,37.0,0.0,0.0,31.0,23.0,4.0,0.0,1282.0,1114.0,0.0,131.0,2.0,8614.0,0.0,0.0,1211.0,927.0,130.0,0.0,217.0,265.0,0.0,0.0,322.0,12.0,4.0,2.0,110.0,54.0,0.0,204.0,0.0,0.0,49.0,0.0,6.0,0.0,14.0,0.0,0.0,6.0,0.0,47.0,243.0,0.0,1821.0,335.0,0.0,16208.0,29.0,0.0,9.0,0.0,4.0,535.0,0.0,39.0,0.0,0.0,5.0,141.0,0.0,0.0,0.0,2.0,GW821,Bkgd,5/13/19,F10,6.315,50.0,60497.0,58608.0,56644.0,GW821T190513F10
Spring20190615-GW82220190318F01,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,46305.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,GW822,Bkgd,3/18/19,F01,0.310,50.0,85264.0,80053.0,77168.0,GW822T190318F01
Spring20190615-GW82220190318F02,0.0,0.0,377.0,4.0,0.0,0.0,433.0,300.0,0.0,6.0,842.0,292.0,8.0,4.0,0.0,222.0,0.0,0.0,1874.0,198.0,141.0,0.0,0.0,437.0,0.0,0.0,566.0,125.0,0.0,0.0,52.0,7.0,0.0,19.0,0.0,0.0,101.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,123.0,1036.0,0.0,2250.0,238.0,0.0,14162.0,394.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,24.0,199.0,0.0,0.0,0.0,0.0,GW822,Bkgd,3/18/19,F02,1.861,50.0,47166.0,44198.0,42267.0,GW822T190318F02
Spring20190615-GW82220190318F10,0.0,0.0,14.0,15.0,0.0,0.0,57.0,460.0,0.0,318.0,2346.0,1046.0,0.0,121.0,5.0,1569.0,0.0,0.0,688.0,488.0,837.0,0.0,0.0,193.0,0.0,0.0,89.0,156.0,0.0,0.0,86.0,50.0,0.0,56.0,0.0,0.0,26.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,91.0,415.0,0.0,350.0,687.0,0.0,12490.0,138.0,0.0,3.0,0.0,0.0,452.0,0.0,50.0,0.0,0.0,17.0,111.0,0.0,0.0,0.0,0.0,GW822,Bkgd,3/18/19,F10,0.440,50.0,41531.0,38887.0,37752.0,GW822T190318F10
Spring20190615-GW82220190401F01,0.0,0.0,2.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,1943.0,0.0,0.0,0.0,10089.0,0.0,0.0,12.0,5.0,16.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,105.0,58.0,0.0,173473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,6.0,GW822,Bkgd,4/1/19,F01,2.901,50.0,314843.0,304100.0,293075.0,GW822T190401F01
Spring20190615-GW82220190401F02,0.0,0.0,21.0,3.0,0.0,0.0,34.0,53.0,0.0,0.0,78.0,213.0,0.0,0.0,0.0,388.0,0.0,0.0,317.0,10.0,76.0,0.0,0.0,39.0,0.0,0.0,183.0,16.0,2.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,154.0,0.0,335.0,2.0,0.0,9024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,GW822,Bkgd,4/1/19,F02,36.375,50.0,208858.0,150355.0,144259.0,GW822T190401F02
Spring20190615-GW82220190401F10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,24.0,305.0,219.0,0.0,22.0,0.0,623.0,0.0,0.0,82.0,15.0,279.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,21.0,19.0,0.0,11582.0,2.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,GW822,Bkgd,4/1/19,F10,15.186,50.0,250278.0,179476.0,171623.0,GW822T190401F10
